Year,Series,Type of Product,Units,Value
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,Tonnes,1.369
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,Tonnes,0.076
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,Tonnes,0.006
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,Tonnes,-0.474
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,Tonnes,7.166
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,Tonnes,0.059
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,Tonnes,0.01
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,Tonnes,0.119
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,Tonnes,0
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,Tonnes,0.726
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,Tonnes,0.222
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,Tonnes,5.759
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,Tonnes,0.00611
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,Tonnes,4.91704
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,Tonnes,0.01096
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,Tonnes,0.007
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,Tonnes,0.031
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,Tonnes,-0.56198
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,Tonnes,0.709
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,Tonnes,0.143
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,Tonnes,4.88697
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,Tonnes,0.00571
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,Tonnes,5.687
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,Tonnes,0.16
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,Tonnes,2.024
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,Tonnes,0.004
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,Tonnes,0.003
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,Tonnes,0
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,Tonnes,0.025
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,Tonnes,0.059
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,Tonnes,9.402
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,Tonnes,1.89649
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,Tonnes,0.056
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,Tonnes,0
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,Tonnes,0.00822
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,Tonnes,1.333
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,Tonnes,4.70273
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,Tonnes,0.01903
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,Tonnes,0.062
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,Tonnes,0.008
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,Tonnes,3.11906
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,Tonnes,10.612
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,Tonnes,1.495
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,Tonnes,0.004
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,Tonnes,0.001
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,Tonnes,5.543
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,Tonnes,0
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,Tonnes,0.113
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,Tonnes,3.299
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,Tonnes,0.00591
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,Tonnes,0.053
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,Tonnes,0.038
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,Tonnes,0.13
2012,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,Tonnes,0.748
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,Tonnes,0.046
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,Tonnes,0
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,Tonnes,0.02411
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,Tonnes,3.59206
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,Tonnes,0.00645
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,Tonnes,2.552
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,Tonnes,0.336
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,Tonnes,0.775
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,Tonnes,0.119
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,Tonnes,0.047
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,Tonnes,0.053
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,Tonnes,8.738
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,Tonnes,2.52523
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,Tonnes,0.001
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,Tonnes,4.303
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,Tonnes,0.003
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,Tonnes,0.007
2013,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,Tonnes,1.368
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,Tonnes,0.001
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,Tonnes,0.00682
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,Tonnes,5.668
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,Tonnes,3.49803
2014,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,Tonnes,0.044
