Year,Series,Units,Type of Product,Value
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Biomass,1.369
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Wild catch and harvest,0.01
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Metal ores,0.222
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Fossil fuels,-0.474
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Crop residues,0
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Grazed biomass and fodder crops,0.119
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Crops,0.726
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-ferrous ores,0.006
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - industrial or agricultural dominant,0.01096
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Natural gas,0.031
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Oil shale and tar sands,0.007
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals,5.759
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Coal,0.00611
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Ferrous ores,0.076
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Wood,0.059
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Petroleum,-0.56198
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Total or no breakdown,7.166
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - construction dominant,4.91704
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Oil shale and tar sands,0
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Natural gas,0.056
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - industrial or agricultural dominant,0.00822
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Non-metallic minerals - construction dominant,4.88697
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Grazed biomass and fodder crops,0.143
2011,"Domestic material consumption per capita, by type of raw material (tonnes)",Tonnes,Crop residues,0
